date,price
2009-01-05,1989.442
2009-01-06,2054.178
2009-01-07,2047.093
2009-01-08,2000.185
2009-01-09,2036.933
2009-01-12,2045.002
2009-01-13,1996.268
2009-01-14,2078.489
2009-01-15,2082.452
2009-01-16,2115.041
2009-01-19,2133.115
2009-01-20,2148.265
2009-01-21,2145.915
2009-01-22,2172.946
2009-01-23,2159.276
2009-02-02,2193.694
2009-02-03,2249.951
2009-02-04,2309.187
2009-02-05,2288.279
2009-02-06,2382.802
2009-02-09,2449.984
2009-02-10,2490.259
2009-02-11,2494.917
2009-02-12,2494.346
2009-02-13,2581.766
2009-02-16,2644.784
2009-02-17,2556.702
2009-02-18,2443.455
2009-02-19,2473.481
2009-02-20,2530.171
2009-02-23,2604.929
2009-02-24,2489.95
2009-02-25,2495.395
2009-02-26,2359.114
2009-02-27,2286.046
2009-03-02,2318.901
2009-03-03,2304.312
2009-03-04,2455.019
2009-03-05,2475.695
2009-03-06,2456.635
2009-03-09,2362.279
2009-03-10,2407.657
2009-03-11,2387.697
2009-03-12,2385.78
2009-03-13,2371.548
2009-03-16,2408.688
2009-03-17,2496.052
2009-03-18,2511.777
2009-03-19,2566.355
2009-03-20,2561.416
2009-03-23,2623.502
2009-03-24,2638.252
2009-03-25,2579.746
2009-03-26,2659.304
2009-03-27,2680.329
2009-03-30,2669.306
2009-03-31,2695.129
2009-04-01,2738.964
2009-04-02,2763.217
2009-04-03,2751.907
2009-04-07,2764.283
2009-04-08,2661.841
2009-04-09,2703.702
2009-04-10,2788.191
2009-04-13,2847.75
2009-04-14,2875.102
2009-04-15,2892.657
2009-04-16,2895.911
2009-04-17,2857.272
2009-04-20,2922.65
2009-04-21,2895.477
2009-04-22,2779.278
2009-04-23,2797.242
2009-04-24,2775.247
2009-04-27,2700.778
2009-04-28,2714.148
2009-04-29,2803.363
2009-04-30,2827.58
2009-05-04,2925.406
2009-05-05,2942.258
2009-05-06,2983.092
2009-05-07,2980.442
2009-05-08,3002.185
2009-05-11,2923.73
2009-05-12,2992.586
2009-05-13,3018.485
2009-05-14,3003.238
2009-05-15,3011.296
2009-05-18,3028.76
2009-05-19,3059.754
2009-05-20,3033.132
2009-05-21,2968.784
2009-05-22,2962.502
2009-05-25,2976.167
2009-05-26,2950.125
2009-05-27,2985.674
2009-06-01,3080.155
2009-06-02,3090.407
2009-06-03,3158.382
2009-06-04,3170.939
2009-06-05,3155.018
2009-06-08,3162.187
2009-06-09,3175.912
2009-06-10,3207.82
2009-06-11,3182.794
2009-06-12,3122.169
2009-06-15,3183.378
2009-06-16,3178.135
2009-06-17,3230.976
2009-06-18,3276.27
2009-06-19,3295.859
2009-06-22,3293.466
2009-06-23,3292.558
2009-06-24,3332.251
2009-06-25,3329.271
2009-06-26,3343.89
2009-06-29,3393.347
2009-06-30,3377.225
2009-07-01,3449.556
2009-07-02,3494.881
2009-07-03,3542.029
2009-07-06,3584.203
2009-07-07,3554.486
2009-07-08,3573.496
2009-07-09,3624.738
2009-07-10,3630.229
2009-07-13,3606.043
2009-07-14,3697.919
2009-07-15,3737.716
2009-07-16,3740.756
2009-07-17,3761.342
2009-07-20,3835.753
2009-07-21,3773.237
2009-07-22,3844.31
2009-07-23,3890.476
2009-07-24,3898.781
2009-07-27,3976.756
2009-07-28,3997.195
2009-07-29,3777.805
2009-07-30,3850.344
2009-07-31,3960.407
2009-08-03,4023.325
2009-08-04,4032.826
2009-08-05,3994.065
2009-08-06,3917.223
2009-08-07,3801.394
2009-08-10,3800.551
2009-08-11,3814.679
2009-08-12,3642.9
2009-08-13,3681.417
2009-08-14,3565.771
2009-08-17,3341.837
2009-08-18,3382.171
2009-08-19,3212.921
2009-08-20,3348.677
2009-08-21,3417.994
2009-08-24,3454.854
2009-08-25,3341.955
2009-08-26,3417.012
2009-08-27,3410.217
2009-08-28,3297.458
2009-08-31,3062.641
2009-09-01,3067.751
2009-09-02,3111.878
2009-09-03,3281.326
2009-09-04,3315.11
2009-09-07,3345.768
2009-09-08,3415.664
2009-09-09,3440.15
2009-09-10,3406.591
2009-09-11,3482.6
2009-09-14,3548.551
2009-09-15,3564.141
2009-09-16,3527.535
2009-09-17,3597.921
2009-09-18,3469.71
2009-09-21,3491.205
2009-09-22,3406.121
2009-09-23,3323.252
2009-09-24,3335.602
2009-09-25,3310.17
2009-09-28,3216.65
2009-09-29,3203.837
2009-09-30,3237.245
2009-10-09,3407.637
2009-10-12,3401.647
2009-10-13,3453.791
2009-10-14,3485.083
2009-10-15,3497.887
2009-10-16,3502.144
2009-10-19,3594.822
2009-10-20,3647.555
2009-10-21,3635.323
2009-10-22,3619.812
2009-10-23,3686.455
2009-10-26,3687.939
2009-10-27,3582.512
2009-10-28,3602.629
2009-10-29,3518.829
2009-10-30,3557.221
2009-11-02,3678.523
2009-11-03,3734.28
2009-11-04,3756.061
2009-11-05,3773.397
2009-11-06,3793.185
2009-11-09,3810.261
2009-11-10,3818.374
2009-11-11,3814.834
2009-11-12,3821.248
2009-11-13,3847.929
2009-11-16,3958.666
2009-11-17,3965.344
2009-11-18,3970.775
2009-11-19,3995.002
2009-11-20,3991.681
2009-11-23,4037.622
2009-11-24,3889.014
2009-11-25,3991.258
2009-11-26,3832.104
2009-11-27,3721.603
2009-11-30,3869.497
2009-12-01,3935.29
2009-12-02,3979.558
2009-12-03,3980.154
2009-12-04,4001.884
2009-12-07,4038.454
2009-12-08,3998.412
2009-12-09,3924.502
2009-12-10,3951.546
2009-12-11,3949.299
2009-12-14,3977.214
2009-12-15,3954.16
2009-12-16,3931.414
2009-12-17,3834.647
2009-12-18,3727.141
2009-12-21,3741.85
2009-12-22,3640.431
2009-12-23,3681.411
2009-12-24,3795.521
2009-12-25,3789.73
2009-12-28,3849.588
2009-12-29,3871.849
2009-12-30,3917.8
2009-12-31,3939.956
2010-01-04,3910.877
2010-01-05,3944.826
2010-01-06,3924.48
2010-01-07,3846.443
2010-01-08,3865.056
2010-01-11,3872.493
2010-01-12,3936.934
2010-01-13,3830.745
2010-01-14,3896.366
2010-01-15,3914.785
2010-01-18,3946.562
2010-01-19,3952.51
2010-01-20,3820.377
2010-01-21,3835.646
2010-01-22,3773.415
2010-01-25,3724.289
2010-01-26,3619.403
2010-01-27,3576.399
2010-01-28,3597.259
2010-01-29,3602.993
2010-02-01,3550.622
2010-02-02,3539.085
2010-02-03,3623.133
2010-02-04,3622.266
2010-02-05,3546.861
2010-02-08,3545.002
2010-02-09,3560.621
2010-02-10,3609.731
2010-02-11,3613.061
2010-02-12,3651.351
2010-02-22,3636.847
2010-02-23,3615.521
2010-02-24,3674.104
2010-02-25,3729.435
2010-02-26,3721.531
2010-03-01,3768.232
2010-03-02,3757.881
2010-03-03,3791.927
2010-03-04,3685.409
2010-03-05,3696.865
2010-03-08,3729.399
2010-03-09,3747.199
2010-03-10,3712.608
2010-03-11,3702.737
2010-03-12,3651.596
2010-03-15,3601.543
2010-03-16,3626.609
2010-03-17,3711.167
2010-03-18,3708.813
2010-03-19,3737.8
2010-03-22,3750.559
2010-03-23,3721.23
2010-03-24,3727.119
2010-03-25,3674.349
2010-03-26,3726.657
2010-03-29,3804.893
2010-03-30,3816.039
2010-03-31,3800.545
2010-04-01,3854.227
2010-04-02,3870.537
2010-04-06,3870.647
2010-04-07,3857.407
2010-04-08,3823.607
2010-04-09,3866.172
2010-04-12,3851.439
2010-04-13,3874.078
2010-04-14,3895.945
2010-04-15,3875.459
2010-04-16,3839.778
2010-04-19,3644.684
2010-04-20,3654.616
2010-04-21,3737.686
2010-04-22,3709.675
2010-04-23,3692.231
2010-04-26,3677.507
2010-04-27,3597.765
2010-04-28,3583.445
2010-04-29,3520.781
2010-04-30,3502.399
2010-05-04,3460.899
2010-05-05,3501.934
2010-05-06,3355.163
2010-05-07,3290.285
2010-05-10,3291.982
2010-05-11,3217.954
2010-05-12,3212.206
2010-05-13,3294.03
2010-05-14,3283.768
2010-05-17,3099.236
2010-05-18,3159.513
2010-05-19,3152.95
2010-05-20,3107.075
2010-05-21,3159.916
2010-05-24,3286.353
2010-05-25,3229.859
2010-05-26,3232.252
2010-05-27,3287.852
2010-05-28,3283.322
2010-05-31,3191.363
2010-06-01,3150.72
2010-06-02,3173.941
2010-06-03,3150.023
2010-06-04,3164.826
2010-06-07,3120.285
2010-06-08,3131.06
2010-06-09,3222.897
2010-06-10,3198.637
2010-06-11,3201.23
2010-06-17,3177.034
2010-06-18,3102.95
2010-06-21,3198.668
2010-06-22,3208.266
2010-06-23,3181.942
2010-06-24,3182.597
2010-06-25,3151.279
2010-06-28,3121.142
2010-06-29,2969.81
2010-06-30,2930.54
2010-07-01,2888.595
2010-07-02,2892.109
2010-07-05,2870.675
2010-07-06,2934.615
2010-07-07,2960.532
2010-07-08,2953.633
2010-07-09,3036.748
2010-07-12,3070.289
2010-07-13,3023.369
2010-07-14,3047.027
2010-07-15,2990.583
2010-07-16,3001.873
2010-07-19,3076.187
2010-07-20,3149.732
2010-07-21,3156.401
2010-07-22,3197.481
2010-07-23,3207.249
2010-07-26,3233.955
2010-07-27,3220.593
2010-07-28,3297.835
2010-07-29,3316.83
2010-07-30,3308.664
2010-08-02,3365.737
2010-08-03,3306.713
2010-08-04,3326.732
2010-08-05,3308.833
2010-08-06,3366.909
2010-08-09,3396.326
2010-08-10,3289.066
2010-08-11,3314.56
2010-08-12,3274.163
2010-08-13,3324.248
2010-08-16,3401.611
2010-08-17,3425.917
2010-08-18,3421.577
2010-08-19,3438.066
2010-08-20,3369.912
2010-08-23,3375.891
2010-08-24,3399.787
2010-08-25,3322.918
2010-08-26,3335.272
2010-08-27,3349.069
2010-08-30,3422.099
2010-08-31,3419.309
2010-09-01,3390.925
2010-09-02,3442.234
2010-09-03,3448.824
2010-09-06,3493.664
2010-09-07,3506.208
2010-09-08,3512.561
2010-09-09,3453.437
2010-09-10,3468.246
2010-09-13,3512.117
2010-09-14,3517.659
2010-09-15,3457.964
2010-09-16,3386.568
2010-09-17,3388.158
2010-09-20,3368.044
2010-09-21,3373.308
2010-09-27,3439.832
2010-09-28,3415.234
2010-09-29,3397.02
2010-09-30,3463.398
2010-10-08,3578.382
2010-10-11,3658.73
2010-10-12,3696.318
2010-10-13,3741.031
2010-10-14,3714.832
