from_regime,to_regime,seg_length,normal_log_pi,changepoint_log_pi,drop,transition
bear,bull,83,-1.3767744765710899,-1.1207970700579313,-0.2559774065131586,bear->bull
bull,bear,35,-1.504074287500981,-7.057793723183166,5.553719435682185,bull->bear
bear,bull,138,-1.4114718030885582,-1.7229711380632895,0.31149933497473126,bear->bull
bull,bear,37,-1.3290565133774632,-7.533357398836632,6.204300885459169,bull->bear
bear,bull,97,-1.4478912074679338,-1.009164598965342,-0.4387266085025918,bear->bull
bear,bull,92,-1.4684867211247177,-1.0206596095819882,-0.4478271115427295,bear->bull
bull,bear,113,-1.432210493954913,-4.9465484716920205,3.5143379777371075,bull->bear
bear,bull,39,-1.4500622076441216,-0.9461895468093614,-0.5038726608347602,bear->bull
bear,bull,52,-1.4755776934455935,-1.3060576878161188,-0.16952000562947478,bear->bull
bull,bear,97,-1.4505849050290645,-2.375358346509725,0.9247734414806608,bull->bear
bull,bear,34,-1.6054186220508304,-2.19688472254015,0.5914661004893198,bull->bear
bull,bear,51,-1.6240795118922655,-6.233285413657189,4.609205901764923,bull->bear
bear,bull,39,-1.3506034165518066,-1.3247081278198434,-0.02589528873196323,bear->bull
bull,sideways,187,-1.4176867474827055,-1.7011667070082324,0.28347995952552685,bull->sideways
sideways,bull,47,-1.5297477380576345,-2.214515578228731,0.6847678401710966,sideways->bull
bear,bull,50,-1.3767799349142738,-1.3297542935132851,-0.04702564140098864,bear->bull
bull,bear,37,-1.5558554177328345,-2.5091693179953736,0.953313900262539,bull->bear
bear,bull,240,-1.4289977029744707,-0.9831048737411218,-0.44589282923334894,bear->bull
bull,sideways,61,-1.3460651989591375,-0.9137578477909849,-0.43230735116815255,bull->sideways
sideways,bull,304,-1.4609816142060084,-0.9353518691072603,-0.525629745098748,sideways->bull
sideways,bull,32,-1.5165964911290104,-6.138886372718002,4.6222898815889915,sideways->bull
bull,sideways,43,-1.337706277858967,-0.9007878701358413,-0.43691840772312573,bull->sideways
bear,bull,52,-1.3761206686308323,-1.4912051955296493,0.11508452689881699,bear->bull
bear,bull,51,-1.3876300837270674,-1.105005721772273,-0.28262436195479435,bear->bull
bull,bear,42,-1.678702035291956,-5.109339856654924,3.4306378213629682,bull->bear
bear,bull,70,-1.3877519949880828,-1.4235378858865684,0.035785890898485606,bear->bull
bull,sideways,35,-1.2926949757548147,-0.8803811152098392,-0.41231386054497554,bull->sideways
sideways,bull,92,-1.4351279551097162,-5.1950628026383345,3.7599348475286183,sideways->bull
bear,bull,55,-1.3734174326358004,-1.2696569061790568,-0.10376052645674361,bear->bull
bear,bull,30,-1.260420344010957,-1.2062672154016367,-0.0541531286093202,bear->bull
bull,sideways,70,-1.3839968945535508,-1.4714707770374842,0.0874738824839334,bull->sideways
bull,bear,38,-1.5022424105427437,-2.984056767724117,1.4818143571813733,bull->bear
bear,bull,30,-1.3812073084468797,-0.9178735334535895,-0.4633337749932902,bear->bull
sideways,bull,83,-1.4274725650354707,-4.389450302833404,2.961977737797933,sideways->bull
bear,bull,50,-1.3798178876626046,-1.1847149573701303,-0.19510293029247427,bear->bull
bull,sideways,41,-1.4346018102501854,-1.0154942740968935,-0.4191075361532919,bull->sideways
sideways,bull,141,-1.4592516612744817,-3.1838520592740043,1.7246003979995226,sideways->bull
bull,sideways,36,-1.430388501997567,-1.0919798091707091,-0.3384086928268579,bull->sideways
sideways,bull,80,-1.460921281881242,-3.1210516989733605,1.6601304170921185,sideways->bull
sideways,bull,52,-1.4789860774865449,-4.260738178933962,2.7817521014474167,sideways->bull
bear,bull,45,-1.4325106239258372,-1.0678841651598932,-0.364626458765944,bear->bull
sideways,bull,82,-1.5112663335917687,-1.9986571605264665,0.4873908269346978,sideways->bull
bull,sideways,72,-1.3826444668141593,-1.1453328167749413,-0.23731165003921806,bull->sideways
sideways,bull,31,-1.5807301015630117,-1.046331723193865,-0.5343983783691468,sideways->bull
bull,bear,38,-1.5142406079977768,-3.87920837794587,2.364967769948093,bull->bear
